Date,employment_level,employment_growth
2019-01-31,6158.2,
2019-02-28,6208.7,0.8200448182910547
2019-03-31,6218.4,0.15623238359077085
2019-04-30,6214.2,-0.06754148977228258
2019-05-31,6226.1,0.19149689421005256
2019-06-30,6233.6,0.12046064149306979
2019-07-31,6172.9,-0.9737551334702332
2019-08-31,6199.2,0.4260558246529156
2019-09-30,6236.7,0.6049167634533559
2019-10-31,6290.5,0.8626356887456499
2019-11-30,6347.3,0.902948891185118
2019-12-31,6347.6,0.004726419107337065
2020-01-31,6256.5,-1.435188102589957
2020-02-29,6306.4,0.7975705266522803
2020-03-31,6225.0,-1.2907522516808267
2020-04-30,5252.9,-15.616064257028118
2020-05-31,5299.0,0.8776104627919779
2020-06-30,5462.9,3.093036421966411
2020-07-31,5431.7,-0.5711252265280353
2020-08-31,5462.9,0.5744058029714338
2020-09-30,5539.3,1.3985245931648072
2020-10-31,5696.5,2.83790370624446
2020-11-30,5761.2,1.1357851312209233
2020-12-31,5715.2,-0.7984447684510121
2021-01-31,5545.8,-2.9640257558790517
2021-02-28,5669.6,2.232319953838946
2021-03-31,5723.4,0.9489205587695615
2021-04-30,5806.4,1.4501869518118493
2021-05-31,5860.6,0.9334527418021654
2021-06-30,5862.0,0.023888339077893228
2021-07-31,5890.5,0.48618219037870336
2021-08-31,5952.2,1.0474492827434068
2021-09-30,5951.3,-0.015120459661965846
2021-10-31,6107.2,2.619595718582479
2021-11-30,6166.8,0.9758973015457251
2021-12-31,6178.9,0.1962119737951573
2022-01-31,6039.0,-2.264157050607707
2022-02-28,6134.0,1.5731081304851902
2022-03-31,6151.4,0.28366481904140706
2022-04-30,6188.6,0.6047403843027821
2022-05-31,6204.2,0.252076398539236
2022-06-30,6197.2,-0.11282679475194124
2022-07-31,6169.7,-0.4437487897760328
2022-08-31,6190.3,0.33388981636059967
2022-09-30,6218.4,0.45393599663989814
2022-10-31,6271.9,0.8603499292422434
2022-11-30,6305.4,0.534128414037216
2022-12-31,6307.3,0.030132901957058422
2023-01-31,6168.6,-2.1990392085361354
2023-02-28,6202.5,0.5495574360470767
2023-03-31,6203.9,0.022571543732352595
2023-04-30,6211.0,0.11444413997647729
2023-05-31,6240.1,0.4685235871840332
2023-06-30,6220.6,-0.3124949920674358
2023-07-31,6165.0,-0.8938044561617953
2023-08-31,6182.2,0.2789943227899494
2023-09-30,6215.1,0.53217301284334
2023-10-31,6268.5,0.859197760293462
2023-11-30,6304.2,0.5695142378559392
2023-12-31,6330.7,0.42035468417880306
2024-01-31,6259.6,-1.1230985515029879
2024-02-29,6272.4,0.2044859096427709
2024-03-31,6278.7,0.10044002295772625
2024-04-30,6275.4,-0.05255865067609333
2024-05-31,6282.3,0.10995315039679099
2024-06-30,6242.8,-0.6287506168123125
2024-07-31,6224.7,-0.2899340039725806
2024-08-31,6242.2,0.2811380468135116
2024-09-30,6269.5,0.437345807567846
2024-10-31,6359.6,1.4371161974639168
2024-11-30,6392.5,0.5173281338448854
2024-12-31,6355.7,-0.5756746186937889
2025-01-31,6222.5,-2.0957565649731724
2025-02-28,6261.2,0.6219365206910465
2025-03-31,6265.8,0.0734683447262574
2025-04-30,6311.3,0.7261642567589099
2025-05-31,6323.8,0.19805745250582873
2025-06-30,6272.3,-0.814383756602044
2025-07-31,6222.9,-0.787589879310624
2025-08-31,6250.9,0.4499509874817287
2025-09-30,6251.9,0.015997696331737643
2025-10-31,6316.5,1.0332858810921497
2025-11-30,6338.4,0.34671099501304425
2025-12-31,6337.7,-0.011043796541709838
2026-01-31,6250.9,-1.3695820250248514
